DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
16-07-2019,151.30,154.30,150.60,152.35,566890,4040
15-07-2019,150.00,151.65,148.90,150.75,238063,1714
12-07-2019,153.25,153.50,148.15,149.85,710610,1675
11-07-2019,153.00,154.10,152.00,153.00,187041,1095
10-07-2019,154.00,154.05,149.70,151.65,186711,1612
09-07-2019,152.50,155.30,150.90,153.45,440151,2561
08-07-2019,161.00,161.20,151.15,152.50,466345,3005
05-07-2019,168.00,168.00,160.00,161.25,505355,3978
04-07-2019,167.00,168.80,166.25,167.10,151101,1562
03-07-2019,166.75,167.85,163.55,166.20,346865,1975
02-07-2019,167.00,167.00,161.55,165.65,279162,2051
01-07-2019,170.00,170.40,159.35,161.05,452199,3003
28-06-2019,170.00,171.30,166.75,167.75,128954,895
27-06-2019,167.45,171.65,167.35,170.55,342804,1926
26-06-2019,164.00,169.05,164.00,167.45,126917,1106
25-06-2019,165.95,168.50,165.65,166.30,243510,1998
24-06-2019,171.00,171.55,164.90,165.25,209469,1559
21-06-2019,172.50,173.50,169.90,171.20,599736,1678
20-06-2019,167.35,172.55,166.05,171.85,189878,1341
19-06-2019,165.70,169.10,164.75,167.35,204847,1268
18-06-2019,165.00,166.90,163.30,166.10,204362,1059
17-06-2019,169.60,170.45,163.00,164.65,199703,1643
14-06-2019,170.20,170.85,168.50,168.90,153668,1226
13-06-2019,169.00,170.15,167.10,168.95,161776,941
12-06-2019,168.90,171.25,166.20,170.45,195862,1338
11-06-2019,165.00,170.05,165.00,169.00,241346,1752
10-06-2019,168.90,168.95,163.20,164.75,318449,2454
07-06-2019,169.05,169.85,166.65,167.55,207931,1142
06-06-2019,169.50,171.75,168.80,169.05,279710,1329
04-06-2019,172.00,173.35,170.00,170.55,324636,1478
03-06-2019,172.55,173.35,167.80,172.30,542051,3368
31-05-2019,167.70,173.75,167.15,171.85,846946,4560
30-05-2019,172.15,172.15,168.00,169.65,223213,1763
29-05-2019,173.25,174.35,170.45,171.55,633888,5416
28-05-2019,173.95,176.00,171.70,175.10,208748,1356
27-05-2019,174.40,175.00,172.65,173.70,280722,1519
24-05-2019,175.05,175.40,169.05,174.40,279903,1906
23-05-2019,178.00,178.95,173.00,174.05,737402,2947
22-05-2019,175.00,177.95,174.30,176.55,352111,2973
21-05-2019,175.00,176.00,173.70,174.30,278014,1827
20-05-2019,168.10,176.50,168.10,176.05,601833,3324
17-05-2019,166.10,168.35,162.30,167.15,194588,1082
16-05-2019,163.60,167.00,162.10,165.90,164708,1008
15-05-2019,164.05,164.95,161.85,162.65,183521,962
14-05-2019,163.70,165.30,161.00,163.95,158731,975
13-05-2019,167.00,167.90,163.25,164.10,274354,1695
10-05-2019,168.95,169.40,165.65,166.35,254778,1286
09-05-2019,166.15,170.10,166.15,169.30,237678,1580
08-05-2019,171.45,171.45,167.80,168.90,192342,1201
07-05-2019,169.80,172.30,168.70,171.45,233862,2982
06-05-2019,169.05,171.60,168.05,170.20,213248,1647
03-05-2019,169.50,171.75,168.00,170.10,212843,1675
02-05-2019,169.75,171.70,168.30,169.35,320560,2095
30-04-2019,168.00,171.00,166.20,169.30,297120,4218
26-04-2019,169.00,169.85,167.70,168.15,191465,1369
25-04-2019,169.00,169.70,166.60,168.40,611813,3193
24-04-2019,165.15,170.30,165.15,168.70,1395827,7368
23-04-2019,157.05,165.20,157.05,163.95,628432,3293
22-04-2019,160.90,161.10,157.05,157.75,220009,1449
18-04-2019,161.25,162.15,159.10,160.20,346459,1921
16-04-2019,156.75,161.25,155.95,160.45,359992,2054
15-04-2019,157.30,158.30,156.10,156.55,162624,1149
12-04-2019,158.55,159.70,157.40,157.80,161570,1173
11-04-2019,158.20,159.20,156.00,158.55,202925,1207
10-04-2019,157.70,159.90,156.65,157.70,292162,1799
09-04-2019,158.70,158.90,157.15,157.55,255981,1921
08-04-2019,157.40,160.15,156.55,158.10,477642,2517
05-04-2019,156.50,157.40,154.10,156.45,175612,1290
04-04-2019,155.40,156.80,153.35,155.15,339304,4787
03-04-2019,158.80,159.15,154.20,155.65,244243,1620
02-04-2019,159.00,159.75,156.55,157.45,501197,2687
01-04-2019,160.80,161.35,156.25,157.70,495113,3269
29-03-2019,155.40,161.35,155.40,159.55,722976,3890
28-03-2019,160.25,160.95,156.25,156.95,452903,3120
27-03-2019,160.00,161.40,157.40,160.25,458345,3002
26-03-2019,159.10,163.00,158.15,159.25,709011,4642
25-03-2019,152.00,160.00,150.70,158.50,1066633,9184
22-03-2019,152.05,153.70,148.65,152.55,529642,3549
20-03-2019,157.00,157.40,150.75,151.85,887949,4295
19-03-2019,156.90,163.15,155.25,157.00,1026615,6329
18-03-2019,155.65,157.25,153.80,154.70,310194,2269
15-03-2019,151.50,156.80,151.50,155.65,517633,3050
14-03-2019,149.70,152.15,149.60,151.35,230074,1798
12-03-2019,155.00,155.80,151.20,152.20,490306,3013
11-03-2019,151.90,154.00,151.30,153.00,255660,1522
08-03-2019,152.25,152.25,147.60,150.10,530154,2819
07-03-2019,155.00,155.50,151.10,152.20,2685669,2888
06-03-2019,155.30,157.00,152.85,154.65,810455,7785
05-03-2019,148.60,155.60,148.20,154.95,796489,8577
01-03-2019,149.85,150.30,147.90,149.05,347088,1921
28-02-2019,144.15,150.00,143.50,148.80,548809,3739
27-02-2019,148.95,149.70,146.55,148.10,475698,2574
26-02-2019,148.00,149.20,146.00,147.70,432341,2429
25-02-2019,149.00,149.60,145.75,148.25,441553,3159
22-02-2019,148.25,150.35,147.00,148.55,761765,4939
21-02-2019,145.50,148.30,144.35,147.00,745093,5060
20-02-2019,141.50,145.00,140.20,144.05,569326,4321
19-02-2019,137.50,140.25,137.50,139.00,456323,2831
18-02-2019,137.80,138.80,135.85,137.10,464544,3131
15-02-2019,139.00,140.80,133.75,135.10,1925006,12645
14-02-2019,134.00,134.10,127.90,132.10,1198428,8678
13-02-2019,138.00,139.40,133.15,133.60,382616,3725
12-02-2019,138.90,141.00,136.60,137.50,276612,3275
11-02-2019,143.75,143.75,137.85,139.00,516472,3420
08-02-2019,146.45,148.00,142.85,143.50,349748,2599
07-02-2019,147.40,148.00,145.60,147.85,147936,1435
06-02-2019,143.00,147.50,142.70,146.65,190113,1605
05-02-2019,146.90,148.20,142.10,142.75,410934,2521
04-02-2019,142.15,147.20,142.05,146.35,434729,3897
01-02-2019,141.00,143.30,139.95,142.05,263692,1951
31-01-2019,140.00,142.90,139.65,141.70,276199,2152
30-01-2019,142.00,142.00,138.95,139.60,403158,3017
29-01-2019,141.95,143.40,140.20,141.20,377351,2156
28-01-2019,142.15,143.00,139.80,141.90,163785,1295
25-01-2019,142.10,144.30,142.00,142.15,171155,1364
24-01-2019,144.95,144.95,141.50,142.00,160213,1471
23-01-2019,144.90,145.50,142.85,143.20,180451,1453
22-01-2019,145.85,146.00,144.05,144.45,275455,1748
21-01-2019,146.25,147.30,144.15,144.75,206311,4331
18-01-2019,145.10,147.35,145.10,146.25,270374,1814
17-01-2019,146.05,147.35,144.45,145.10,178824,1435
16-01-2019,146.00,146.85,145.15,146.00,135191,1195
15-01-2019,143.30,145.45,143.30,145.10,192986,1434
14-01-2019,145.40,145.40,142.60,143.50,149859,1118
11-01-2019,143.65,145.65,143.65,144.70,173034,1396
10-01-2019,145.60,147.00,143.30,143.55,285667,2103
09-01-2019,147.40,148.20,145.05,145.55,284910,1784
08-01-2019,148.80,149.00,146.40,147.40,258422,3123
07-01-2019,148.00,148.00,145.95,147.55,440062,2404
04-01-2019,142.00,146.20,141.70,145.65,372189,2470
03-01-2019,145.15,145.55,141.80,143.20,4943024,4828
02-01-2019,148.30,148.30,146.30,147.60,491473,3192
01-01-2019,150.60,150.60,148.50,148.95,206090,1373
31-12-2018,150.95,150.95,149.15,150.20,301640,1751
28-12-2018,148.50,151.25,148.00,150.45,529650,3497
27-12-2018,147.20,150.90,146.10,149.20,1337105,4342
26-12-2018,148.40,149.25,145.75,146.75,441337,2238
24-12-2018,149.00,149.70,147.40,147.85,327744,1699
21-12-2018,149.65,149.65,147.70,148.55,407285,2500
20-12-2018,148.25,150.80,147.50,148.65,904965,5165
19-12-2018,147.90,148.95,147.25,148.45,326069,2053
18-12-2018,147.80,148.45,146.40,147.90,331027,2472
17-12-2018,147.10,149.85,146.25,148.35,409672,3123
14-12-2018,143.25,150.30,140.60,146.95,1018982,5651
13-12-2018,143.75,144.40,141.60,143.25,368480,3252
12-12-2018,139.50,142.45,139.05,141.65,314823,2120
11-12-2018,137.00,139.20,134.75,138.35,696729,4002
10-12-2018,139.10,141.30,135.70,137.25,656307,4861
07-12-2018,140.10,141.40,138.30,139.90,549454,3780
06-12-2018,142.90,142.90,138.65,140.15,2652944,8999
05-12-2018,146.00,148.10,142.55,143.70,522328,4229
04-12-2018,143.10,147.95,142.95,146.20,559711,5182
03-12-2018,141.00,143.00,140.25,142.60,807021,3489
30-11-2018,142.05,143.65,138.50,140.20,616796,4025
29-11-2018,144.00,144.00,138.00,140.75,1196325,5690
28-11-2018,148.00,148.00,142.20,142.65,346526,2899
27-11-2018,148.25,148.25,144.40,146.30,382886,2732
26-11-2018,152.55,153.55,145.25,146.75,682131,5500
22-11-2018,153.75,154.30,151.75,152.20,314810,2081
21-11-2018,155.00,155.65,151.20,151.75,281687,2008
20-11-2018,155.45,155.85,152.15,152.60,444737,3210
19-11-2018,158.00,158.00,153.35,154.40,294620,2612
16-11-2018,157.60,157.85,152.95,156.55,607291,4008
15-11-2018,160.85,162.35,158.00,158.90,184691,1665
14-11-2018,156.90,163.65,156.90,160.75,900804,5810
13-11-2018,156.00,157.85,155.80,156.50,252014,1593
12-11-2018,157.50,158.30,155.40,156.00,199613,1601
09-11-2018,157.25,157.50,155.30,156.45,139148,1289
07-11-2018,157.80,157.85,156.65,157.15,98025,805
06-11-2018,158.50,158.50,154.00,155.85,358865,2975
05-11-2018,164.45,164.70,154.10,154.85,1168369,7169
02-11-2018,156.00,158.50,155.25,157.35,335044,2199
01-11-2018,156.10,157.00,153.60,154.30,250828,2251
31-10-2018,154.00,154.70,151.40,153.15,285144,2300
30-10-2018,155.00,155.00,152.20,152.95,237082,1529
29-10-2018,152.00,155.70,150.45,155.00,461358,3676
26-10-2018,155.70,156.70,148.95,151.85,851159,8283
25-10-2018,157.90,162.70,153.15,155.70,457304,3939
24-10-2018,157.50,159.50,153.75,157.50,385035,4132
23-10-2018,157.00,157.45,151.05,155.55,402774,3817
22-10-2018,161.50,161.70,155.60,156.10,218069,2217
19-10-2018,163.95,163.95,157.30,161.05,240729,2478
17-10-2018,166.00,167.60,160.00,162.10,261986,2626
